texto,label,nota
"Filme espetacular. Não é uma nota 5 e sim uma nota 10. Outro fantástico filme que a bela atriz fez e que, infelizmente, ainda n pude ver inteiro é, muito me engane: Não me abandone jamais. Um filme atual e com uma excelente interpretação.",Positivo,5.0
"Pior filme que já assisti na MINHA VIDA! Roteiro pessimo, sem conceito algum. Se pudesse voltar atrás, pouparia tempo e DINHEIRO. Amo o cinema nacional, amo os artistas nacionais, porém esse filme não dá! Não assistam!",Negativo,0.5
"Um leve passatempo, ao estilo Edmilson Filho, mas sem grandes pretensões. Não é o melhor de Halder mas vale como um leve e divertido passatempo.",Negativo,3.0
"Quase saí do cinema no meio do filmeA intenção era fazer o povo rir, mas não se escutava nenhuma risada na sala de cinema.Péssimo! Sem sentido nenhum, efeitos horrorosos, sem nexo nenhum.",Negativo,1.0
"Filme péssimo, angustiante de assitir, vontade apenas de sair da sala, a cinematografia do filme é boa pelo menos, e também o Edmilson salvou essa bomba, atores medíocres, péssimo.",Negativo,1.0
"Filme é bom em termos de animação, o roteiro é meio atrapalhado porque muitas vezes lembra para quem assistiu ""As Duas Torres"", como no meu caso. O pessoal reclama da protagonista e do vilão,  mas a protagonista me lembra a personagem que era filha do Rei em ""As Duas Torres"". Só que aqui ""ela"" é a protagonista e, sobre vilão...Gente, quantos vilões com o mesmo mote vocês já viram antes?!? Eu, uma dúzia pelo menos. Ter o amor ...Leia Mais",Positivo,3.5
"Deu vontade de aplaudir no final, um conto não acabado pelo autor, mas muito bem encaixado com o que condiz a História do senhor dos anéis.",Positivo,4.5
"O filme do início ao fim se consolida como uma obra de arte digna do universo de Lord Of Rings, espero que as animações continuem.",Positivo,5.0
"O filme é simplesmente ótimo! A animação é incrível e transmite bem o universo de Tolkien. A trilha sonora está perfeita, criando a atmosfera certa.

Acredito que o público, em geral, deveria ser menos crítico, pois nada será exatamente como os filmes dos anos 2000. Cada adaptação tem sua própria identidade e interpreta o material de forma única, respeitando sua época e contexto. O importante é capturar a essência do universo de ...Leia Mais",Positivo,5.0
"Os vários pedaços da humanidade.

Em mais uma adaptação, a história do médico que dá vida a uma criatura feita de pedaços mortos, impressiona com a fidelidade ao livro original. Ainda assim, traz novas partes exclusivas para o cinema.
Frankenstein é uma obra atemporal.

Escrito magistralmente pela autora Mary Shelley quando tinha apenas 21 anos, o clássico ganha uma nova vida no cinema sob a direção do experiente e aclamado Guillermo ...Leia Mais",Positivo,5.0
"Suspense,drama, fotografia impecá gatilhos psicoló do melhores filmes dos últimos anos.",Positivo,5.0
"Impecável, o filme me deixou maravilhada do início ao fim, Oscar Isaac como sempre dando um belo show de atuação",Positivo,5.0
"Muito bom filme. Como sempre, Del Toro sendo bem autoral. Fotografia e ambientação com sua assinatura.Oscar Isaac entrega uma ótima atuação Assim como Jacob Elordi e Mia Goth também estão bem.Christoph Waltz OK dessa vez (não entrega algo estupendo, como de costume, mas também não decepciona).Bela adaptação de Frankenstein.",Positivo,4.0
"Um excelente filme, do estilo que eu gosto, com um enredo bem amarrado e sem deixar nenhuma ponta solta. Até agora, pra mim, é o melhor filme do ano. O melhor filme também neste estilo, chamado em inglês de ""CAPER THRILLER FILM"", mas que não teria tradução adequada no português; talvez um ""SUSPENSE CRIMINAL SEM MORTES"" cairia bem. Bom, sem comentar muito, pra não prejudicar ninguem e acabar escapando algum ""spoiler"", vale dar umas dicas, ...Leia Mais",Positivo,5.0
"O filme é uma obra-prima com uma história bem inteligente, envolvente e que não conseguimos decifrar em nenhum momento o final,spoiler:principalmente pela grande reviravolta no final. O filme mistura um pouco de aventura, ação e drama. O elenco é excelente e todos têm ótimas atuações. Recomendo.",Positivo,5.0
"É um ótimo filme, vale o ingresso, cheio de ação, suspense, comedia, efeitos especiais na medida certa e um dialogo bem elaborado e dirigindo,e também com muitos clichês o que não tira o brilhantismo do filme.eu recomendo.",Positivo,5.0
"Um ótimo filme. Além de um grande roteiro, atores qualificados, grandes efeitos especiais e truques. Vale a pena assistir!",Positivo,5.0
"copia de zootopia, infelizmente, o nome super igual, e ainda foi lancado na epoca de halloween, tentando angariar publico!",Negativo,1.0
"Na terra mágica de Pepperland, os Beatles enfrentam os opressivos Blue Meanies com a força da música e do psicodelismo. Muito além do padrão Disney, a animação de Yellow Submarine é uma celebração da pop art e da contracultura dos anos 60, marcada por cores vibrantes e técnicas inovadoras, como rotoscopia e colagem.

O filme combina humor absurdo, referências culturais e jogos de palavras que agradam tanto crianças quanto adultos, ...Leia Mais",Positivo,4.5
"A história por hora parece um pouco confusa, mas é muito bom entrar neste universo que abrange muitas canções marcantes da banda. Por sinal, a trilha sonora já garante o motivo para assistir a este clássico.",Positivo,4.5
"Filme tem trama bem desenvolvida,as cenas de ação são boas e bem elaboradas,Jackie Chan e Pierce Brosnan interpretam personagens interessantes.",Positivo,3.5
"Achei um filmaço, enredo intrigante com um bom desenrolar e uma boa investigação. Não conhecia o lado dramático do ator Jackie Chan, só conhecia o seu lado cômico e de filmes de ação, mas ele mandou muito bem. O elenco como um todo é muito bom. Vale a pena conferir!",Positivo,4.0
"O filme é empolgante do início ao fim, e conta com uma ótima atuação de Jackie Chan, que mostrou que realmente é um grande ator.",Positivo,4.0
"O Estrangeiro é um filme ótimo e dinâmico em uma estória atual e envolvente com ação e tensão na medida certa em meio a uma boa estoria. Pierce Brosnan faz um papel de um político irlandês que deixou a vida de terrorista para trás e Jackie Chan é um cidadão comum que na loucura do terrorismo irlandês, perde sua única filha em um atentado e busca justiça.

Não  concordo com a ""crítica"" do 'Adoro Cinema', pois, o roteiro é muito ...Leia Mais",Positivo,4.5
"O enredo não poderia ser mais coerente com a nossa atual realidade e vindo do cinema nacional, surpreende positivamente. No entanto, falta profundidade na trama e clareza no desfecho. Nos momentos finais, tudo se desdobra de forma superficial e rápida, deixando a desejar na direção. O importante é que a crítica social foi feita com sucesso.",Negativo,3.0
"Péssimo, fui assistir um filme que retratava sobre casos reais e acabei vendo uma aula de biologia explícita. Eu e minhas amigas saímos traumatizadas daquela sala de cinema por causa de falta de qualidade em atuação, roteiro, música,efeitos visuais e pelos efeitos de câmeras. Foi o pior filme que tinha tudo pra dar certo mas jogou tudo no lixo, espero sinceramente que o roteirista se demita para evitar causar doenças mentais aos ...Leia Mais",Negativo,0.5
"Eu assisti esse filme hoje 29/10 #salverosa e me desculpe... Eu esperava uma outra proposta que no filme não foi devidamente abordada que é a exploração de crianças para produzir conteúdo digital. Esperava mais que abordassem esse assunto tão importante para os dias de hoje. Não tem nada a ver com o elenco isso que estou dizendo, porque eles recebem o roteiro e trabalham conforme o que está escrito. Um filme entediante. Elenco nota 10 ...Leia Mais",Negativo,0.5
"Ótimo filme, personagens complexos e elenco impecável, principalmente klara castanho que faz uma atuação digna de premios",Positivo,5.0
"A cosmologia yanomami do livro é praticamente impossível de traduzir em 2h de filme. Contudo, o uso cuidadoso da imagem e som proporciona uma experiência possante. Filme essencial, traz todo o contexto do livro e as ideias fluem com força e adesão. Quando os yanomamis morrerem, o mundo morrerá.",Positivo,5.0
"Excelente roteiro misturando comédia, investigação e sobrenatural. Saiu da ""zona de conforto"" do pastelão clássico. Além do roteiro diferente, surpreende pelos poucos cenários necessários para dar vida à obra. Pedro Wagner no papel do Bode foi a melhor atuação. O filme tem reviravolta e traz um toque de drama no fim.",Positivo,4.5
"Filme O Rei da feira.Divertido e com um enredo bem interessante.Começa parecendo com um filme brasileiro pastelão típico, mas a história ganha forma com um intrigante mistério a ser resolvido.Bacana perceber o cinema nacional alterando o seu perfil para melhor.",Positivo,3.5
"Eu entendo os 2 lados.  Também fui ver o filme pra dar muita risada, e isso não aconteceu. No entanto, me surpreendi com a história,  o enredo,  o desenrolar da trama, a atuação e, no fim, uma coisa compensou a outra. Foi bacana! Prá mim e minha filha, que me acompanhou, valeu a pena",Positivo,4.0
Tem  todos os clichês do gênero . Mas é muito divertido e prende a atenção até o final . Hassum é muito bom .!!!,Positivo,4.0
"Paul Thomas Anderson é um daqueles realizadores autorais do cinema recente americano que aparenta ser praticamente incapaz de fazer um filme ruim, assim como seus contemporâneos Wes Anderson, Quentin Tarantino, e Spike Jonze. Mesmo em seu trabalho mais pessoal, insípido, e contemplativo, o diretor/roteirista norte-americano não deixa de transparecer seu talento vivaz e intoxicante. Trama Fantasma é a legitima marca de um grande artista na ...Leia Mais",Positivo,4.0
"O filme não é extraordinário, mas Daniel faz o filme ser superior com seu talento e arte. Ele é um costureiro famoso e super metódico até que encontra por acaso Alma e a relação será tortuosa e impactará sua sanidade e trabalho. Fotografia e vestuário exuberantes. Não perca.",Positivo,4.5
"TRAMA FANTASMA (Phantom Thread

TRAMA FANTASMA é dirigido por Paul Thomas Anderson e estrelado por Daniel Day-Lewis, Lesley Manville e Vicky Krieps. O longa integra a lista dos indicados ao Oscar em 6 categorias (Melhor Filme, Diretor, Ator (Daniel Day-Lewis), Atriz Coadjuvante (Lesley Manville), Figurino e Trilha Sonora), além de obter algumas indicações no Globo de Ouro e no BAFTA.

Duas combinações que jamais poderia dar errado: Paul ...Leia Mais",Positivo,3.5
"""Trama Fantasma"" é o último filme escrito e dirigido por um dos profissionais mais celebrados da indústria cinematográfica atual, Paul Thomas Anderson; e também marca a segunda colaboração dele com o ator Daniel Day-Lewis - a primeira foi ""Sangue Negro"", pela qual Lewis ganhou o Oscar 2007 de Melhor Ator.

No filme, que se passa na década de 50, acompanhamos a figura de Reynolds Woodcock (Day-Lewis), um renomado estilista, responsável ...Leia Mais",Positivo,3.5
"Collete e Bellucci em grande forma nesta comédia com roteiro esperto, ágil e com diálogos deliciosos. Americana com marido infame e chefe machista é chamada para o velório do avô mafioso que deixa seu legado para ela. Não perca!",Positivo,4.0
"Excelente roteiro! Inovador, diferente, leve e divertido. Temos empoderamento e sororidade de uma forma natural e verdadeira. Amei a concepção da história e como ela é usada para auto ajuda. É sobre se reinventar, mesmo em situações complicadas.",Positivo,4.5
"Este filme é mais um sobre empoderamento feminino, mas este aqui executou bem. A protagonista não vence as lutas por ser uma mulher empoderada, vence porque ela sabe lutar e vai se habituando à mafia com o passar do filme. Então, ao meu ver, a protagonista se desenvolveu muito bem e foi ficando esperta e menos ingênua com o passar da trama.
A vibe italiana de mafia, vinícolas, vinhos, valores da família e catolicismo ficou muito bem ...Leia Mais",Positivo,5.0
"Achei muito bom, é engraçado e descontraído, e história e bem interessante e os personagens são engraçados",Positivo,4.0
"Incêndios (2010), dirigido por Denis Villeneuve, é um drama canadense poderoso que explora as cicatrizes da guerra e do sectarismo. A história começa com a morte de Nawal Marwan (Lubna Azabal), que deixa instruções incomuns para seus filhos gêmeos, Jeanne (Mélissa Désormeaux-Poulin) e Simon (Maxim Gaudette), levando-os a uma jornada para desvendar um passado devastador.

Alternando entre presente e flashbacks, o filme revela o doloroso ...Leia Mais",Positivo,5.0
"Filme ""soco no estômago"". Por que a vida de alguns tem que ser mais difícil que a de outros?",Positivo,5.0
"Decifra-me ou te devoro, o desafio da esfinge de Tebas, não poderia ser mais evidente numa história como foi neste filme. A verdade tem um só caminho, caso contrário, seremos devorados.Esse filme é tão real que parece um documentário. Imperdível.",Positivo,5.0
É um dos melhores filmes que já vi em 52 anos de vida. É uma porrada no estômago. Um roteiro impecável. Uma história ímpar.,Positivo,5.0
"O cinema brasileiro abriu 2025 com um impacto raro de se ver: “O Último Azul”, novo longa de Gabriel Mascaro, chega carregado de expectativa após conquistar o Urso de Prata no Festival de Berlim e se tornar um dos nomes mais comentados da temporada. O prêmio, somado ao sucesso recente de Ainda Estou Aqui no Oscar, colocou novamente os holofotes internacionais sobre o Brasil, gerando entusiasmo em torno da possibilidade de vermos o país ...Leia Mais",Positivo,3.5
"Muito bom ver o cinema brasileiro tão pungente, forte, cheio de si. Em fotografia, elenco, roteiro e direção.  Que montagem! E que final! Bethania dourando o Azul. O último azul!! Bravo!!!",Positivo,5.0
"Melhor filme assisitido no ano. O diretor é simplesmente mágico ao conseguir deixar o rude e o simples, ilusionalmente bonito, poético e riquíssimo. A personagem principal - a atriz simplesmente arrasa no papel - cresce exponencialmente juntamente com a história, que se passa dentro de uma fotografia maravilhosamente hipnótica. Cenas de violência se tornam poéticas e cenas de alegria, festa e torcida, rudes... tem que ser especial para ...Leia Mais",Positivo,5.0
"O filme é cheio de metáforas. O sonho da protagonista (não vou dar spoiller) é uma grande metáfora. Ela queria enxergar o mundo sob outra perspectiva, de um ponto físico diferente, mas descobre que existe um mundo desconhecido bem próximo dela. Creio que todos imaginavam um final estadunidense clássico, onde ela conseguiria realizar seu sonho. O filme trata de uma jornada e da transformação que ocorre ao longo do caminho.",Positivo,4.0
Com certeza é um dos melhores filmes da temática lgbt que eu já assisti. Maravilhoso! A abordagem é sensível e muito realista. As performances dos atores são perfeitas. O filme nos dá a esperança de ser feliz numa sociedade ainda muito hipócrita.,Positivo,5.0
"Simplesmente perfeito, sabe aquele filme que você assiste e fala:""Esse eu vou levar pra vida""?Esse filme é exatamente isso, principalmente para quem se identifica um pouco com a história. Vale muito a pena assistir, só vai.",Positivo,5.0
Lindo filme! Trás a pureza e sentimento da criança e pré adolescência quando tem o primeiro amor de forma que não tirou a genuidade deles.,Positivo,5.0
"Este filme foi simplesmente perfeito! Um dos melhores da minha vida, mudou completamente a minha perspectiva de vida E a minha vida. Ele foi perfeito, sem palavras para o descrever.",Positivo,5.0
"Muito divertido! Tem começo, auge e estabilidade no final, em um roteiro moderno e real. A protagonista é perfeita e o elenco ótimo. A trilha sonora é um acerto a parte, com peso extra no conjunto. Ficamos felizes e satisfeitos assistindo tudo que ela precisa expurgar.",Positivo,4.0
"Uma boa comédia,  diversão garantida, pré estreia no Cine Roxy Santos, com a participação da Bia atriz principal com excelente atuação.",Positivo,5.0
"O filme frito de maneira descontraída não é isento de um enredo provocador, por estimular reflexões sobre comportamentos tóxicos comuns no dia a dia das pessoas.Libertador.",Positivo,3.5
"Muito tempo não assistia um filme nacional leve, que mostra muito a realidade das mulheres com toque de humor,adorei o filme.",Positivo,4.0
Ótimo.. Superou as expectativas.. fui meio desconfiado mas grata surpresa.. nível divertidamente.. adoramos!!,Positivo,5.0
"casa mágica da Gaby o filme, gato galáctico, enaldinho, calebão, painzeiro, Biel Valadares, geleia, de",Positivo,5.0
"Eu amei! Mesmo que seja um filme para crianças, passa uma mensagem muito importante e que é um filme muito bem animado, as músicas são incríveis, não teve exceção de quase nenhum personagem que já tem na série, incrível!",Positivo,5.0
"Absurdamente o pior filme oferecido em uma sala de cinema. Não me lembrava de ver as pessoas se retirando dos assentos e indo embora da sala, acreditem é verdade isso.",Negativo,0.5
"O cinema atual vive uma fase curiosa: nunca se produziu tantas continuações, remakes e reboots, mas raramente esses filmes conseguem justificar sua própria existência. Entre tantas repetições e fórmulas gastas, agosto se revelou um mês surpreendentemente positivo para as sequências. Primeiro tivemos a boa surpresa de Uma Sexta-Feira Mais Louca Ainda e depois o retorno divertido de Corra que a Polícia Vem Aí!. Agora, com Os Caras ...Leia Mais",Positivo,3.5
"Muito melhor que o primeiro sensacional esse filme gostei muito tomara que tenha um terceiro 8,5/10",Positivo,5.0
"Muito bom, vem d euma animação para esquentar seu coração. No mesmo esquema de animações que ficou popular depois de homem aranha no aranhaverso e gato de botas2.",Positivo,4.0
"Muito bom,! Ari Aster é, definitivamente, um dia melhores diretores dessa nova geração. Até agora não errou",Positivo,4.0
"Um filme desconcertante sobre fake news, pós verdade, loucura das mídias sociais e acima de tudo sobre a doença grave da sociedade que é corroida, assim como as relações humanas.",Positivo,4.0
"Eddington é Ari Aster dobrando a aposta em sua fase mais experimental, e o resultado é tão fascinante quanto irregular. Ambientado em plena pandemia, o filme mistura paranoia, crítica social e absurdos culturais em um caldeirão de ideias que nem sempre encontram espaço para respirar.

Joaquin Phoenix carrega o longa nas costas, entregando uma das atuações mais intensas de sua carreira, enquanto um elenco poderoso é deixado de lado para ...Leia Mais",Negativo,3.0
"Elenco bom, roteiro bem ruim, resultado desastroso. Até a metade do filme, Eddington parece promissor, daí surgem 10 plot twists diferentes que acabam com a história. Parece que escolheram todos os finais possíveis para o filme e resolveram executar todos. O final é desajeitado e aleatório.",Negativo,2.0
"A história de origem de Mufasa, explorando sua ascensão de um filhote órfão a rei da savana, destacando os desafios e sacrifícios enfrentados ao longo do caminho.
Barry Jenkins traz profundidade emocional à clássica história da Disney, explorando temas de liderança, responsabilidade e legado. A animação é visualmente impressionante, e a trilha sonora complementa a narrativa de forma eficaz.
O filme oferece uma abordagem emocional e ...Leia Mais",Positivo,4.0
"Crítica de ""Mufasa""

Pontos Fortes:

1. Imagens Lindas:

O filme é visualmente deslumbrante, com animações que capturam a beleza majestosa da savana africana. Cada cena é cuidadosamente criada, fazendo com que a paisagem pareça mágica e real ao mesmo tempo.



2. História Envolvente:

A trama de Mufasa é muito bem contada, oferecendo uma narrativa que faz jus à grandeza do personagem. Mufasa é retratado como um leão generoso, bondoso ...Leia Mais",Positivo,5.0
"Impecável! Se o Simba foi emocionante, a história do pai não seria diferente! Assistam, pois vão se emocionar.",Positivo,5.0
"o filme destaca a bondade, caráter e coragem que faz mufasa ser o grande rei leão, tem uma história envolvente, traz também o ódio de Scar crescendo do irmão e sua cicatriz emblemática, a sabedoria de Rafiki que conduz a trilha por onde mufasa deve seguir, o filme traz a mesma sensação mágica que sentimos quando assistimos o rei leão pela primeira vez na década de 90.",Positivo,3.5
"O filme e muito bem retratado e conseguimos ver bem em como as pessoas negras lutavam com muita dificuldade conquistar um espaço de respeito ou apenas sobrevivência em um prédio imperial, entretanto senti que durante eu assistia ao filme um tipo de guerra de negros contra brancos, como negros pessoas boas e que nunca fariam nada de mal, e acho que isso aconteceu pelo fato que tentaram criar uma boa muito responsável pelo seu conteúdo, ...Leia Mais",Positivo,3.5
"Muito bom o filme com enredo e atuações excelentes. Mesmo sendo longo, nao senti cansaço e acompanhei toda a história que é uma aula.",Positivo,5.0
Um filme muito importante por retratar parte da história do Brasil encoberta pelo apagamento com excelente roteiro e elenco.,Positivo,5.0
"Ótimo filme, apesar da dor que nos causa quando mostra o cotidiano de um povo que foi sequestrado de sua terra natal. Os projetos de reparação precisam existir até o fim dos tempos, pois não há como reparar a monstruosidade que fizeram com os povos pretos. TODO brasileiro precisa assistir e conversar sobre a escravidão e a pós escravidão, chegando aos dias de hoje, mas dentro de um grupo formado por pessoas de gêneros e etnias diversas. ...Leia Mais",Positivo,5.0
"Maravilhoso, sob vários aspectos, em especial o religioso. Comovente!Pintor que também escrevia, cantor e compositor que pintava etc ...",Positivo,5.0
"Apesar do elenco ser maravilhoso, o enredo é fraco e perdido com o tema, parece apenas que tentou embarcar no sucesso do primeiro.",Negativo,2.0
"Filme genérico, enredo simples, comédia boba, sem nenhuma graça. Piadas idiotas e mensagem “militante” totalmente forçada. O personagem mais engraçado é a própria sogra, a portuguesa, e nem por isso chega a ser engraçada de fato. Um ou dois momentos que se pode dar um sorriso, não um riso. Com o valor dos ingressos para assistir no cinema hoje, não vale a pena nem um pouco.",Negativo,0.5
"Um verdadeiro suco de chorume , impossível gostar ou achar graça de "" atores e atrizes"" tão ruins, nível do canal multixoxo!",Negativo,0.5
"Algumas, senão a maioria, das esquestes são curtas e bem divertidas. Os personagens são cativantes e o ritmo ágil dos curtas são bem interessante. Sem contar que é um verdadeiro deleite para Guilhermo Francella e para nós , ver e acompanha-lo transitar por diversos , divertidos e complexos personagens. Embora os curtas façam duras críticas ao país, o filme consegue entreter e, muitas das vezes, nos remete a uma proximidade a situações ...Leia Mais",Positivo,4.5
"Gsotaria de assistir esse filme mas não sei em qual streaming e com legendas em espanhol ou português está disponível.O mesmo acontece com Le derniere Souffle de Costa Gavras.Se alguém pode me enviar o link onde eu possa pegar as legendas, agradeceria muito.Não consegui avaliar por motivos OBVIOS. e como o site exige uma avaliação coloquei o máximo de 5 estrelasAtt.Juan",Positivo,5.0
"Não tem oq reclamar desse filme foi realmente espetacular, certamente se tornou o meu filme favorito, gostei muito dos personagens do roteiro e das músicas, gráficos e efeitos sonoros então foi realmente coisa de outro mundo, antes de vc assistir o filme recomendo assistir 1 e o 2 pra vcs entenderem.Gostei muito...",Positivo,5.0
